,train_loss,val_loss,train_miou,val_miou,train_acc,val_acc
0,0.4418826623290193,0.45890168845653534,0.5291126757001614,0.5046636169445275,0.9105238126586723,0.9005667121419371
1,0.4323722837018032,0.4520477023389604,0.5364953458418439,0.5098343527858655,0.9115671347991386,0.9018968438727553
2,0.43290584578233604,0.42972755597697365,0.5375110608081485,0.5422490643663839,0.9096129591930895,0.9015880374929854
3,0.4304381012916565,0.4304259717464447,0.5401593312752746,0.5396680001991225,0.9078760348513544,0.9015962328062825
4,0.41901660812836067,0.437632711397277,0.5512686876968371,0.526935239072837,0.9090363391181193,0.9001922187069561
5,0.4110087901353836,0.42951764000786674,0.5588475865205994,0.5439530143360206,0.9105827345142604,0.900293626367845
6,0.40345216966142844,0.42297183142768013,0.5661605202464577,0.5505321429497011,0.91308466710189,0.9044548278316628
7,0.3965257238231453,0.4265105856789483,0.574906104337244,0.5471903591476394,0.9125485986620889,0.9032423947492602
8,0.40201488867694257,0.41362253990438247,0.5722619636558304,0.5672815647524986,0.9106053291380833,0.9040176614232602
9,0.3894086935940911,0.41700540482997894,0.5827123686659677,0.5528393590172879,0.9153117277386167,0.905724403919243
10,0.3849446417069903,0.40591686964035034,0.5898082339120122,0.5728861803451769,0.9151822438399139,0.9062964068956612
11,0.38644105751140445,0.41074540714422864,0.5865491874738789,0.56395017285125,0.9150519335230649,0.9068646484972833
12,0.3874014957862742,0.41787299182679916,0.5866507275629697,0.554279953513462,0.9147526646534416,0.9059980875277395
13,0.3717970775038588,0.41858967310852474,,,,
